Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,-34.448824,48.021996,0.0,bottom
C2,100nF,C_0402_1005Metric,-34.448824,46.914492,0.0,bottom
C3,4.7uF,C_0402_1005Metric,-32.86132,42.068856,-90.0,bottom
C4,100nF,C_0402_1005Metric,-40.005088,46.037616,-90.0,bottom
C5,100nF,C_0402_1005Metric,-41.195716,46.037616,-90.0,bottom
C6,1uF,C_0402_1005Metric,-26.511304,37.70322,-90.0,bottom
C7,10nF,C_0402_1005Metric,-43.180096,56.753268,90.0,bottom
C8,4.7uF,C_0402_1005Metric,-44.370724,56.753268,90.0,bottom
C9,1uF,C_0402_1005Metric,-39.608212,63.897036,180.0,bottom
C10,4.7uF,C_0402_1005Metric,-33.258196,56.753268,90.0,bottom
C11,1uF,C_0402_1005Metric,-34.448824,56.753268,90.0,bottom
C12,1uF,C_0402_1005Metric,-41.195716,58.340772,180.0,bottom
D1,D_Small,D_SOD-123,-149.93974,76.200192,90.0,bottom
D2,D_Small,D_SOD-123,-147.558484,57.150144,90.0,bottom
D3,D_Small,D_SOD-123,-142.795972,38.100096,90.0,bottom
D4,D_Small,D_SOD-123,-149.542864,30.162576,-90.0,bottom
D5,D_Small,D_SOD-123,-126.12718,76.200192,90.0,bottom
D6,D_Small,D_SOD-123,-121.364668,57.150144,90.0,bottom
D7,D_Small,D_SOD-123,-111.839644,38.100096,90.0,bottom
D8,D_Small,D_SOD-123,-123.745924,30.162576,-90.0,bottom
D9,D_Small,D_SOD-123,-107.077132,76.200192,90.0,bottom
D10,D_Small,D_SOD-123,-102.31462,57.150144,90.0,bottom
D11,D_Small,D_SOD-123,-92.789596,38.100096,90.0,bottom
D12,D_Small,D_SOD-123,-97.552108,30.162576,-90.0,bottom
D13,D_Small,D_SOD-123,-88.027084,76.200192,90.0,bottom
D14,D_Small,D_SOD-123,-83.264572,57.150144,90.0,bottom
D15,D_Small,D_SOD-123,-73.739548,38.100096,90.0,bottom
D16,D_Small,D_SOD-123,-61.039516,30.162576,-90.0,bottom
D17,D_Small,D_SOD-123,-68.977036,76.200192,90.0,bottom
D18,D_Small,D_SOD-123,-64.214524,57.150144,90.0,bottom
D19,D_Small,D_SOD-123,-54.6895,38.100096,90.0,bottom
D20,D_Small,D_SOD-123,-49.926988,76.200192,90.0,bottom
D21,D_Small,D_SOD-123,-55.483252,57.150144,90.0,bottom
D22,D_Small,D_SOD-123,-35.639452,38.100096,90.0,bottom
D23,D_Small,D_SOD-123,-35.71884,30.162576,-90.0,bottom
D24,D_Small,D_SOD-123,-30.87694,76.200192,90.0,bottom
D25,D_Small,D_SOD-123,-26.114428,57.150144,90.0,bottom
D26,D_Small,D_SOD-123,-16.589404,38.100096,90.0,bottom
D27,D_Small,D_SOD-123,-14.287536,29.7657,-90.0,bottom
D28,D_Small,D_SOD-123,-11.826892,76.200192,90.0,bottom
D29,D_Small,D_SOD-123,-7.06438,57.150144,90.0,bottom
D30,D_Small,D_SOD-123,2.460644,38.100096,90.0,bottom
D31,D_Small,D_SOD-123,7.223156,76.200192,90.0,bottom
D32,D_Small,D_SOD-123,11.985668,57.150144,90.0,bottom
D33,D_Small,D_SOD-123,21.510692,38.100096,90.0,bottom
D34,D_Small,D_SOD-123,26.273204,76.200192,90.0,bottom
D35,D_Small,D_SOD-123,31.035716,57.150144,90.0,bottom
D36,D_Small,D_SOD-123,40.56074,38.100096,90.0,bottom
D37,D_Small,D_SOD-123,45.323252,76.200192,90.0,bottom
D38,D_Small,D_SOD-123,50.085764,57.150144,90.0,bottom
D39,D_Small,D_SOD-123,59.610788,38.100096,90.0,bottom
D40,D_Small,D_SOD-123,26.67008,30.10008,-90.0,bottom
D41,D_Small,D_SOD-123,54.054524,76.200192,90.0,bottom
D42,D_Small,D_SOD-123,76.27958,57.150144,90.0,bottom
D43,D_Small,D_SOD-123,81.042092,38.100096,90.0,bottom
D44,D_Small,D_SOD-123,53.260772,30.162576,-90.0,bottom
D45,D_Small,D_SOD-123,83.740836,30.162576,-90.0,bottom
D46,D_Small,D_SOD-123,76.676456,30.162576,-90.0,bottom
J1,DB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4.048148,68.262672,90.0,bottom
Q1,2N7002,SOT-23,-28.89256,38.893848,-90.0,bottom
R1,10k,R_0402_1005Metric,-31.273816,39.6876,-90.0,bottom
R2,100k,R_0402_1005Metric,-31.273816,37.70322,-90.0,bottom
R3,10k,R_0402_1005Metric,-26.511304,39.6876,-90.0,bottom
SW54,SW_Push,SW_SPST_TL3342,-28.89256,45.243864,-90.0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,-38.81446,52.387632,90.0,bottom
U2,XC6206PxxxMR,SOT-23,-40.79884,61.118904,90.0,bottom
