Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",34.448824,48.021996,0.000000,bottom
"C2","100nF","C_0402_1005Metric",34.448824,46.914492,0.000000,bottom
"C3","4.7uF","C_0402_1005Metric",32.861320,42.068856,-90.000000,bottom
"C4","100nF","C_0402_1005Metric",40.005088,46.037616,-90.000000,bottom
"C5","100nF","C_0402_1005Metric",41.195716,46.037616,-90.000000,bottom
"C6","1uF","C_0402_1005Metric",26.511304,37.703220,-90.000000,bottom
"C7","10nF","C_0402_1005Metric",43.180096,56.753268,90.000000,bottom
"C8","4.7uF","C_0402_1005Metric",44.370724,56.753268,90.000000,bottom
"C9","1uF","C_0402_1005Metric",39.608212,63.897036,180.000000,bottom
"C10","4.7uF","C_0402_1005Metric",33.258196,56.753268,90.000000,bottom
"C11","1uF","C_0402_1005Metric",34.448824,56.753268,90.000000,bottom
"C12","1uF","C_0402_1005Metric",41.195716,58.340772,180.000000,bottom
"D1","D_Small","D_SOD-123",149.939740,76.200192,90.000000,bottom
"D2","D_Small","D_SOD-123",147.558484,57.150144,90.000000,bottom
"D3","D_Small","D_SOD-123",142.795972,38.100096,90.000000,bottom
"D4","D_Small","D_SOD-123",149.542864,30.162576,-90.000000,bottom
"D5","D_Small","D_SOD-123",126.127180,76.200192,90.000000,bottom
"D6","D_Small","D_SOD-123",121.364668,57.150144,90.000000,bottom
"D7","D_Small","D_SOD-123",111.839644,38.100096,90.000000,bottom
"D8","D_Small","D_SOD-123",123.745924,30.162576,-90.000000,bottom
"D9","D_Small","D_SOD-123",107.077132,76.200192,90.000000,bottom
"D10","D_Small","D_SOD-123",102.314620,57.150144,90.000000,bottom
"D11","D_Small","D_SOD-123",92.789596,38.100096,90.000000,bottom
"D12","D_Small","D_SOD-123",97.552108,30.162576,-90.000000,bottom
"D13","D_Small","D_SOD-123",88.027084,76.200192,90.000000,bottom
"D14","D_Small","D_SOD-123",83.264572,57.150144,90.000000,bottom
"D15","D_Small","D_SOD-123",73.739548,38.100096,90.000000,bottom
"D16","D_Small","D_SOD-123",61.039516,30.162576,-90.000000,bottom
"D17","D_Small","D_SOD-123",68.977036,76.200192,90.000000,bottom
"D18","D_Small","D_SOD-123",64.214524,57.150144,90.000000,bottom
"D19","D_Small","D_SOD-123",54.689500,38.100096,90.000000,bottom
"D20","D_Small","D_SOD-123",49.926988,76.200192,90.000000,bottom
"D21","D_Small","D_SOD-123",55.483252,57.150144,90.000000,bottom
"D22","D_Small","D_SOD-123",35.639452,38.100096,90.000000,bottom
"D23","D_Small","D_SOD-123",35.718840,30.162576,-90.000000,bottom
"D24","D_Small","D_SOD-123",30.876940,76.200192,90.000000,bottom
"D25","D_Small","D_SOD-123",26.114428,57.150144,90.000000,bottom
"D26","D_Small","D_SOD-123",16.589404,38.100096,90.000000,bottom
"D27","D_Small","D_SOD-123",14.287536,29.765700,-90.000000,bottom
"D28","D_Small","D_SOD-123",11.826892,76.200192,90.000000,bottom
"D29","D_Small","D_SOD-123",7.064380,57.150144,90.000000,bottom
"D30","D_Small","D_SOD-123",-2.460644,38.100096,90.000000,bottom
"D31","D_Small","D_SOD-123",-7.223156,76.200192,90.000000,bottom
"D32","D_Small","D_SOD-123",-11.985668,57.150144,90.000000,bottom
"D33","D_Small","D_SOD-123",-21.510692,38.100096,90.000000,bottom
"D34","D_Small","D_SOD-123",-26.273204,76.200192,90.000000,bottom
"D35","D_Small","D_SOD-123",-31.035716,57.150144,90.000000,bottom
"D36","D_Small","D_SOD-123",-40.560740,38.100096,90.000000,bottom
"D37","D_Small","D_SOD-123",-45.323252,76.200192,90.000000,bottom
"D38","D_Small","D_SOD-123",-50.085764,57.150144,90.000000,bottom
"D39","D_Small","D_SOD-123",-59.610788,38.100096,90.000000,bottom
"D40","D_Small","D_SOD-123",-26.670080,30.100080,-90.000000,bottom
"D41","D_Small","D_SOD-123",-54.054524,76.200192,90.000000,bottom
"D42","D_Small","D_SOD-123",-76.279580,57.150144,90.000000,bottom
"D43","D_Small","D_SOD-123",-81.042092,38.100096,90.000000,bottom
"D44","D_Small","D_SOD-123",-53.260772,30.162576,-90.000000,bottom
"D45","D_Small","D_SOD-123",-83.740836,30.162576,-90.000000,bottom
"D46","D_Small","D_SOD-123",-81.042092,30.162576,-90.000000,bottom
"J1","DB","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-4.048148,68.262672,90.000000,bottom
"Q1","2N7002","SOT-23",28.892560,38.893848,-90.000000,bottom
"R1","10k","R_0402_1005Metric",31.273816,39.687600,-90.000000,bottom
"R2","100k","R_0402_1005Metric",31.273816,37.703220,-90.000000,bottom
"R3","10k","R_0402_1005Metric",26.511304,39.687600,-90.000000,bottom
"SW54","SW_Push","SW_SPST_TL3342",28.892560,45.243864,-90.000000,bottom
"U1","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",38.814460,52.387632,90.000000,bottom
"U2","XC6206PxxxMR","SOT-23",40.798840,61.118904,90.000000,bottom
